"","Year","Protected_6","Protected_5","Next_Fall_Not_Discontinued","Four_Year_Not_Discontinued","Four_Year_Completed","Six_Year_Completed","AmIndianAkNative","Asian","BlackAA","Hispanic","NatHIPacIsland","TwoMoreEth","Unknown","White","Male","Female","Protected_1","Protected_2","Protected_3","Protected_4","Baseball","Basketball","CrossCountry","Football","Golf","Lacrosse","NotAthlete","Soccer","Softball","Swimming","Tennis","TrackIndoor","TrackOutdoor","TwoMoreSports","Volleyball","ArtDesign","AthleticTraining","BiblicalStudies","Biochem","Biology","Business","Chemistry","CinematicArts","Communication","CompSci","Engineering","English","HeathHumanPerf","History","Honors","International","Mathematics","Music","Nursing","Politics","Psychology","Sociology","Spanish","Theatre","Undeclared","UGSocialWork","UGTeacherEd"
"61","2013-14",0,83,"0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","2013-14",8.8167050156216,87,"1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","2013-14",9.57775741244682,87,"1","1","1","1","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"64","2013-14",8.52297643617196,76,"1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","2013-14",9.31632069551342,84,"1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","2013-14",8.54907938027856,76,"1","1","1","1","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"67","2013-14",9.85161514312542,62,"0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"68","2013-14",10.0418572218009,98,"1","1","1","1","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","2013-14",9.66770192587285,74,"0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","2013-14",9.03479579946125,93,"0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
